Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-14T05%3A54%3A51.216174%2B00%3A00,1,0,1076.087044995802,1076.087044995802,1076.087044995802,1076.087044995802,57.0,0.01735432706601488,0.0,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-14T05%3A54%3A51.305793%2B00%3A00,1,0,2216.9808029939304,2216.9808029939304,2216.9808029939304,2216.9808029939304,57.0,0.01735432706601488,0.0,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-14T05%3A54%3A51.320083%2B00%3A00,1,0,1221.4919369944255,1221.4919369944255,1221.4919369944255,1221.4919369944255,57.0,0.01735432706601488,0.0,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-14T05%3A54%3A51.545525%2B00%3A00,1,0,1404.2545279953629,1404.2545279953629,1404.2545279953629,1404.2545279953629,57.0,0.01735432706601488,0.0,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-14T05%3A54%3A51.633915%2B00%3A00,1,0,1346.437373002118,1346.437373002118,1346.437373002118,1346.437373002118,57.0,0.01735432706601488,0.0,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-14T05%3A54%3A51.639419%2B00%3A00,1,0,2193.7507440015906,2193.7507440015906,2193.7507440015906,2193.7507440015906,57.0,0.01735432706601488,0.0,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-14T05%3A54%3A51.702452%2B00%3A00,1,0,2191.466295000282,2191.466295000282,2191.466295000282,2191.466295000282,57.0,0.01735432706601488,0.0,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-14T05%3A54%3A51.842752%2B00%3A00,1,0,1439.09921899467,1439.09921899467,1439.09921899467,1439.09921899467,57.0,0.01735432706601488,0.0,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-14T05%3A54%3A51.942567%2B00%3A00,1,0,1063.3116940007312,1063.3116940007312,1063.3116940007312,1063.3116940007312,57.0,0.01735432706601488,0.0,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-14T05%3A54%3A51.968551%2B00%3A00,1,0,1503.0466340031126,1503.0466340031126,1503.0466340031126,1503.0466340031126,57.0,0.01735432706601488,0.0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-14T05%3A54%3A52.272255%2B00%3A00,1,0,1460.7588009967003,1460.7588009967003,1460.7588009967003,1460.7588009967003,57.0,0.01735432706601488,0.0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-14T05%3A54%3A52.385877%2B00%3A00,1,0,1850.3368330057128,1850.3368330057128,1850.3368330057128,1850.3368330057128,57.0,0.01735432706601488,0.0,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-14T05%3A54%3A52.400102%2B00%3A00,1,0,1900.5668319950928,1900.5668319950928,1900.5668319950928,1900.5668319950928,57.0,0.01735432706601488,0.0,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-14T05%3A54%3A52.447258%2B00%3A00,1,0,1110.9259320001001,1110.9259320001001,1110.9259320001001,1110.9259320001001,57.0,0.01735432706601488,0.0,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-14T05%3A54%3A52.510931%2B00%3A00,1,0,1790.1498659994104,1790.1498659994104,1790.1498659994104,1790.1498659994104,57.0,0.01735432706601488,0.0,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-14T05%3A54%3A52.610137%2B00%3A00,1,0,2379.4270389989833,2379.4270389989833,2379.4270389989833,2379.4270389989833,57.0,0.01735432706601488,0.0,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-14T05%3A54%3A52.614011%2B00%3A00,1,0,2327.443417001632,2327.443417001632,2327.443417001632,2327.443417001632,57.0,0.01735432706601488,0.0,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-14T05%3A54%3A52.939047%2B00%3A00,1,0,1926.413125002,1926.413125002,1926.413125002,1926.413125002,57.0,0.01735432706601488,0.0,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-14T05%3A54%3A53.053500%2B00%3A00,1,0,4017.977940995479,4017.977940995479,4017.977940995479,4017.977940995479,57.0,0.01735432706601488,0.0,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-14T05%3A54%3A53.441472%2B00%3A00,1,0,4561.015260995191,4561.015260995191,4561.015260995191,4561.015260995191,57.0,0.01735432706601488,0.0,4600,4600,4600,4600,4600,4600,4600,4600,4600,4600,4600
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-14T05%3A54%3A54.000740%2B00%3A00,1,0,784.8153849990922,784.8153849990922,784.8153849990922,784.8153849990922,57.0,0.01735432706601488,0.0,780,780,780,780,780,780,780,780,780,780,780
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-14T05%3A54%3A54.025287%2B00%3A00,1,0,949.0767130046152,949.0767130046152,949.0767130046152,949.0767130046152,57.0,0.01735432706601488,0.0,950,950,950,950,950,950,950,950,950,950,950
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-14T05%3A54%3A54.212132%2B00%3A00,1,0,1125.87373599672,1125.87373599672,1125.87373599672,1125.87373599672,57.0,0.01735432706601488,0.0,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-14T05%3A54%3A54.305296%2B00%3A00,1,0,3941.285034001339,3941.285034001339,3941.285034001339,3941.285034001339,57.0,0.01735432706601488,0.0,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-14T05%3A54%3A54.357952%2B00%3A00,1,0,415.83307800465263,415.83307800465263,415.83307800465263,415.83307800465263,57.0,0.01735432706601488,0.0,420,420,420,420,420,420,420,420,420,420,420
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-14T05%3A54%3A54.635367%2B00%3A00,1,0,229.68696199677652,229.68696199677652,229.68696199677652,229.68696199677652,57.0,0.01735432706601488,0.0,230,230,230,230,230,230,230,230,230,230,230
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-14T05%3A54%3A54.649021%2B00%3A00,1,0,1837.9608859977452,1837.9608859977452,1837.9608859977452,1837.9608859977452,57.0,0.01735432706601488,0.0,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-14T05%3A54%3A54.866420%2B00%3A00,1,0,1618.8472219946561,1618.8472219946561,1618.8472219946561,1618.8472219946561,57.0,0.01735432706601488,0.0,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600
